DATE;MKT-RF;SMB;HML Devil;HML FF;RMW;CMA;RF
08/31/2017;0.16%;-0.80%;-1.63%;-0.86%;0.14%;-2.42%;0.09%
09/30/2017;2.51%;2.21%;1.15%;0.39%;-1.38%;1.64%;0.08%
10/31/2017;2.25%;-1.14%;-1.85%;-0.82%;0.93%;-3.35%;0.09%
11/30/2017;3.12%;-0.13%;-0.38%;-0.65%;3.30%;0.05%;0.09%
12/31/2017;1.06%;-0.11%;1.26%;0.73%;0.72%;1.67%;0.10%
01/31/2018;5.58%;-0.89%;-1.83%;-1.48%;-0.82%;-0.86%;0.11%
02/28/2018;-3.65%;0.51%;-2.45%;-1.89%;0.58%;-2.23%;0.12%
03/31/2018;-2.35%;1.28%;0.35%;0.16%;-0.45%;0.00%;0.14%
04/30/2018;0.29%;-0.68%;2.62%;1.66%;-2.33%;1.18%;0.14%
05/31/2018;2.65%;2.19%;-2.91%;-2.53%;-2.01%;-1.44%;0.15%
06/30/2018;0.48%;-0.06%;-0.30%;-1.01%;0.83%;0.34%;0.16%
07/31/2018;3.19%;-2.14%;0.94%;0.72%;1.53%;0.40%;0.16%
08/31/2018;3.44%;0.73%;-3.66%;-3.60%;-0.15%;-2.47%;0.17%
09/30/2018;0.06%;-2.23%;0.72%;1.20%;0.59%;1.26%;0.17%
10/31/2018;-7.68%;-2.18%;2.80%;3.01%;0.86%;3.42%;0.18%
11/30/2018;1.69%;-1.48%;-1.53%;-1.40%;-0.63%;0.33%;0.19%
12/31/2018;-9.55%;-1.90%;-0.96%;0.12%;-0.09%;0.15%;0.19%
01/31/2019;8.41%;0.99%;2.06%;-0.30%;-0.65%;-1.36%;0.20%
02/28/2019;3.40%;1.33%;-1.71%;-2.28%;0.09%;-1.47%;0.20%
03/31/2019;1.10%;-2.33%;-2.34%;-1.70%;0.86%;-1.03%;0.20%
04/30/2019;3.96%;-0.61%;0.17%;-0.67%;1.64%;-2.18%;0.20%
05/31/2019;-6.94%;-0.20%;-3.21%;-1.44%;-0.54%;1.78%;0.20%
06/30/2019;6.93%;-1.45%;0.08%;-0.71%;0.99%;-0.38%;0.19%
07/31/2019;1.19%;-0.50%;-1.24%;-1.04%;-0.16%;0.34%;0.17%
08/31/2019;-2.58%;-2.09%;-3.71%;-3.03%;0.43%;-0.88%;0.17%
09/30/2019;1.43%;-0.48%;4.44%;3.87%;1.99%;3.50%;0.16%
10/31/2019;2.06%;-0.06%;-1.62%;-1.29%;0.25%;-0.99%;0.15%
11/30/2019;3.87%;0.25%;-1.57%;-1.72%;-1.58%;-1.24%;0.13%
12/31/2019;2.77%;1.41%;2.26%;1.81%;0.09%;1.29%;0.13%
01/31/2020;-0.11%;-1.27%;-6.08%;-4.96%;-1.36%;-2.34%;0.13%
02/29/2020;-8.13%;-0.60%;-2.13%;-1.80%;-1.61%;-2.49%;0.13%
03/31/2020;-13.38%;-4.83%;-11.93%;-10.10%;-1.38%;1.21%;0.10%
04/30/2020;13.65%;4.51%;5.72%;-0.53%;2.51%;-1.03%;0.01%
05/31/2020;5.58%;1.83%;-3.72%;-3.76%;0.71%;-3.28%;0.01%
06/30/2020;2.46%;2.12%;-0.48%;-1.27%;0.03%;0.34%;0.01%
07/31/2020;5.77%;-0.04%;-4.58%;-1.91%;0.55%;1.06%;0.01%
08/31/2020;7.63%;0.40%;0.03%;-1.11%;4.27%;-1.44%;0.01%
09/30/2020;-3.63%;1.13%;-3.09%;-1.69%;-1.18%;-1.81%;0.01%
